team_name,state,team_id,season_id,event_id,tournament_id,source_tournament,event_matches_url_without_session
Stanford,CA,758924150,1560238138,8710102132,931299132,2026 NCAA Division I Championships,https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8710102132&teamId=758924150
The Citadel,SC,758928150,1560238138,8710102132,931299132,2026 NCAA Division I Championships,https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8710102132&teamId=758928150
Utah Valley,UT,758936150,1560238138,8710102132,931299132,2026 NCAA Division I Championships,https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8710102132&teamId=758936150
Virginia,VA,758937150,1560238138,8710102132,931299132,2026 NCAA Division I Championships,https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8710102132&teamId=758937150
Virginia Tech,VA,758938150,1560238138,8710102132,931299132,2026 NCAA Division I Championships,https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8710102132&teamId=758938150
VMI,VA,758939150,1560238138,8710102132,931299132,2026 NCAA Division I Championships,https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8710102132&teamId=758939150
West Virginia,WV,758947150,1560238138,8710102132,931299132,2026 NCAA Division I Championships,https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8710102132&teamId=758947150
Wisconsin,WI,758954150,1560238138,8710102132,931299132,2026 NCAA Division I Championships,https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8710102132&teamId=758954150
Wyoming,WY,758963150,1560238138,8710102132,931299132,2026 NCAA Division I Championships,https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8710102132&teamId=758963150
Clarion,PA,758792150
LIU,NY,758969150
Presbyterian,SC,758975150
Sacred Heart,CT,758910150
