"source_index","record_type","primary_id","event_id","dual_id","format_code","format_label","start_date","end_date","event_name","location_state","tournament_system","tournament_id","winner_side","winner_team_id","winner_team_name","team_1_id","team_1_name","team_1_state","team_1_score","team_2_id","team_2_name","team_2_state","team_2_score","season_id","results_url_template"
"41","standalone_dual","8704444132","","8704444132","","standalone_dual","2026-02-22","2026-02-22","Bellarmine vs Chattanooga","KY","","","2","758790150","Chattanooga","758743150","Bellarmine","KY","9","758790150","Chattanooga","TN","26","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=8704444132&teamId={TEAM_ID}"
"42","standalone_dual","8707822132","","8707822132","","standalone_dual","2026-02-22","2026-02-22","Newman vs Fort Hays State","KS","","","2","758817150","Fort Hays State","758876150","Newman","KS","18","758817150","Fort Hays State","KS","32","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=8707822132&teamId={TEAM_ID}"
"43","standalone_dual","8704746132","","8704746132","","standalone_dual","2026-02-22","2026-02-22","Columbia vs Bucknell","NY","","","1","758800150","Columbia","758800150","Columbia","NY","30","758777150","Bucknell","PA","6","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=8704746132&teamId={TEAM_ID}"
"44","standalone_dual","8703762132","","8703762132","","standalone_dual","2026-02-22","2026-02-22","Air Force vs Northern Colorado","CO","","","2","758882150","Northern Colorado","758758150","Air Force","CO","17","758882150","Northern Colorado","CO","19","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=8703762132&teamId={TEAM_ID}"
"45","standalone_dual","8717428132","","8717428132","","standalone_dual","2026-02-22","2026-02-22","Oklahoma State vs Iowa","OK","","","1","758892150","Oklahoma State","758892150","Oklahoma State","OK","32","758830150","Iowa","IA","11","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=8717428132&teamId={TEAM_ID}"
"46","standalone_dual","8704523132","","8704523132","","standalone_dual","2026-02-22","2026-02-22","Appalachian State vs Gardner-Webb","NC","","","1","758763150","Appalachian State","758763150","Appalachian State","NC","25","758820150","Gardner-Webb","NC","14","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=8704523132&teamId={TEAM_ID}"
"47","standalone_dual","8703902132","","8703902132","","standalone_dual","2026-02-22","2026-02-22","Clarion vs American","PA","","","2","758761150","American","758792150","Clarion","PA","10","758761150","American","DC","26","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=8703902132&teamId={TEAM_ID}"
"48","standalone_dual","8705525132","","8705525132","","standalone_dual","2026-02-22","2026-02-22","Iowa State vs Missouri","IA","","","1","758831150","Iowa State","758831150","Iowa State","IA","20","758865150","Missouri","MO","14","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=8705525132&teamId={TEAM_ID}"
"49","standalone_dual","8708043132","","8708043132","","standalone_dual","2026-02-22","2026-02-22","Central Michigan vs Michigan","MI","","","2","758857150","Michigan","758786150","Central Michigan","MI","6","758857150","Michigan","MI","34","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=8708043132&teamId={TEAM_ID}"
"50","standalone_dual","8703669132","","8703669132","","standalone_dual","2026-02-22","2026-02-22","Bloomsburg vs Bucknell","PA","","","2","758777150","Bucknell","758773150","Bloomsburg","PA","9","758777150","Bucknell","PA","34","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=8703669132&teamId={TEAM_ID}"
